336 3,118324
338,964 -263,3922
338,967 -240,6469
338,97 -233,299
338,973 -226,4654
338,976 -227,5144
338,979 -233,0783
338,982 -230,2036
338,985 -233,7685
338,988 -232,3913
338,991 -232,4383
338,994 -240,3104
338,997 -226,2007
339 -238,9952
